InvoiceNo,Date,Month,Day,weekday/weekend,Year Qrt,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode,Revenue,Total cost,Profit margin,
INV1002926,"Tuesday, September 9, 2025",Sep,Tuesday,Weekday,2025-Q3,STR002,PRD0052,Accessories,1,1310.58,0,552.5,Returning,Cash,1310.58,552.5,758.08,
INV1002927,"Thursday, June 20, 2024",Jun,Thursday,Weekday,2024-Q2,STR022,PRD0087,Shoes,3,1576.26,0,1627.12,New,Card,4728.78,4881.36,-152.58,
INV1002928,"Sunday, February 4, 2024",Feb,Sunday,Weekend,2024-Q1,STR031,PRD0115,Shoes,3,1977.85,0,1551.2,Returning,Digital,5933.55,4653.6,1279.95,
INV1002929,"Tuesday, April 30, 2024",Apr,Tuesday,Weekday,2024-Q2,STR038,PRD0095,Shoes,3,5373.39,10,250.64,Returning,Card,16120.17,751.92,15368.25,
INV1002930,"Wednesday, May 1, 2024",May,Wednesday,Weekday,2024-Q2,STR008,PRD0001,Clothing,3,4325.45,5,1169.92,New,Cash,12976.35,3509.76,9466.59,
INV1002931,"Saturday, May 25, 2024",May,Saturday,Weekend,2024-Q2,STR010,PRD0066,Accessories,3,2561.78,10,1551.29,New,Card,7685.34,4653.87,3031.47,
INV1002932,"Tuesday, June 3, 2025",Jun,Tuesday,Weekday,2025-Q2,STR032,PRD0095,Shoes,2,4698.61,15,255.06,Returning,Cash,9397.22,510.12,8887.1,
INV1002933,"Friday, February 9, 2024",Feb,Friday,Weekday,2024-Q1,STR045,PRD0085,Shoes,4,4533.58,10,925.41,Returning,Cash,18134.32,3701.64,14432.68,
INV1002934,"Saturday, April 5, 2025",Apr,Saturday,Weekend,2025-Q2,STR024,PRD0065,Accessories,6,5922.02,20,1454.61,Returning,Digital,35532.12,8727.66,26804.46,
INV1002935,"Saturday, November 1, 2025",Nov,Saturday,Weekend,2025-Q4,STR042,PRD0055,Accessories,5,8895.33,5,1571.33,New,Card,44476.65,7856.65,36620,
INV1002936,"Friday, November 24, 2023",Nov,Friday,Weekday,2023-Q4,STR031,PRD0064,Accessories,6,5610.31,0,1421.13,Returning,Card,33661.86,8526.78,25135.08,
INV1002937,"Monday, August 11, 2025",Aug,Monday,Weekday,2025-Q3,STR050,PRD0112,Shoes,3,1180.58,0,584.58,Returning,Digital,3541.74,1753.74,1788,
INV1002938,"Monday, April 8, 2024",Apr,Monday,Weekday,2024-Q2,STR035,PRD0040,Clothing,2,1197.78,15,1207.72,Returning,Card,2395.56,2415.44,-19.88,
INV1002939,"Sunday, December 17, 2023",Dec,Sunday,Weekend,2023-Q4,STR005,PRD0091,Shoes,4,5436.09,0,293.24,New,Card,21744.36,1172.96,20571.4,
INV1002940,"Monday, October 27, 2025",Oct,Monday,Weekday,2025-Q4,STR046,PRD0051,Accessories,4,5564.66,0,646.07,Returning,Card,22258.64,2584.28,19674.36,
INV1002941,"Friday, May 9, 2025",May,Friday,Weekday,2025-Q2,STR037,PRD0108,Shoes,1,3447.31,5,764.59,Returning,Digital,3447.31,764.59,2682.72,
INV1002942,"Wednesday, October 22, 2025",Oct,Wednesday,Weekday,2025-Q4,STR009,PRD0072,Accessories,3,6941.71,0,1693.46,New,Card,20825.13,5080.38,15744.75,
INV1002943,"Thursday, November 23, 2023",Nov,Thursday,Weekday,2023-Q4,STR040,PRD0072,Accessories,3,6904.86,5,1934.02,Returning,Digital,20714.58,5802.06,14912.52,
INV1002944,"Sunday, December 31, 2023",Dec,Sunday,Weekend,2023-Q4,STR044,PRD0052,Accessories,7,5013.22,0,577.44,Returning,Cash,35092.54,4042.08,31050.46,
INV1002945,"Sunday, February 16, 2025",Feb,Sunday,Weekend,2025-Q1,STR015,PRD0029,Clothing,2,2410.92,0,1743.06,Returning,Cash,4821.84,3486.12,1335.72,
INV1002946,"Friday, June 27, 2025",Jun,Friday,Weekday,2025-Q2,STR004,PRD0042,Accessories,3,9752.12,20,156.51,Returning,Cash,29256.36,469.53,28786.83,
INV1002947,"Saturday, December 2, 2023",Dec,Saturday,Weekend,2023-Q4,STR007,PRD0064,Accessories,6,5686.09,10,1323.51,New,Digital,34116.54,7941.06,26175.48,
INV1002948,"Sunday, December 3, 2023",Dec,Sunday,Weekend,2023-Q4,STR041,PRD0030,Clothing,7,3664.98,0,1305.83,New,Card,25654.86,9140.81,16514.05,
INV1002949,"Saturday, July 26, 2025",Jul,Saturday,Weekend,2025-Q3,STR045,PRD0084,Shoes,6,5578,10,2121.58,Returning,Digital,33468,12729.48,20738.52,
INV1002950,"Tuesday, August 12, 2025",Aug,Tuesday,Weekday,2025-Q3,STR049,PRD0022,Clothing,3,2059.47,10,1360.04,Returning,Cash,6178.41,4080.12,2098.29,
INV1002951,"Monday, June 24, 2024",Jun,Monday,Weekday,2024-Q2,STR019,PRD0011,Clothing,2,2320.09,15,435.63,Returning,Digital,4640.18,871.26,3768.92,
INV1002952,"Saturday, August 9, 2025",Aug,Saturday,Weekend,2025-Q3,STR024,PRD0012,Clothing,3,4552.05,0,1270.24,Returning,Card,13656.15,3810.72,9845.43,
INV1002953,"Sunday, March 17, 2024",Mar,Sunday,Weekend,2024-Q1,STR037,PRD0099,Shoes,1,6440.25,0,2029.02,Returning,Card,6440.25,2029.02,4411.23,
INV1002954,"Tuesday, November 26, 2024",Nov,Tuesday,Weekday,2024-Q4,STR006,PRD0104,Shoes,6,6529.15,10,1031.15,New,Card,39174.9,6186.9,32988,
INV1002955,"Friday, April 18, 2025",Apr,Friday,Weekday,2025-Q2,STR003,PRD0066,Accessories,3,865.63,15,1861.57,Returning,Card,2596.89,5584.71,-2987.82,
INV1002956,"Friday, June 13, 2025",Jun,Friday,Weekday,2025-Q2,STR029,PRD0033,Clothing,2,1694.9,10,907.06,New,Digital,3389.8,1814.12,1575.68,
INV1002957,"Tuesday, October 28, 2025",Oct,Tuesday,Weekday,2025-Q4,STR029,PRD0095,Shoes,6,5056.37,0,185.14,Returning,Digital,30338.22,1110.84,29227.38,
INV1002958,"Sunday, October 5, 2025",Oct,Sunday,Weekend,2025-Q4,STR017,PRD0053,Accessories,5,6871.05,10,703.71,New,Card,34355.25,3518.55,30836.7,
INV1002959,"Thursday, September 25, 2025",Sep,Thursday,Weekday,2025-Q3,STR037,PRD0053,Accessories,2,1442.51,0,647.58,New,Cash,2885.02,1295.16,1589.86,
INV1002960,"Tuesday, September 23, 2025",Sep,Tuesday,Weekday,2025-Q3,STR035,PRD0002,Clothing,2,4449.13,0,120.37,New,Card,8898.26,240.74,8657.52,
INV1002961,"Thursday, September 19, 2024",Sep,Thursday,Weekday,2024-Q3,STR032,PRD0085,Shoes,3,7513.48,20,690.06,Returning,Card,22540.44,2070.18,20470.26,
INV1002962,"Thursday, January 25, 2024",Jan,Thursday,Weekday,2024-Q1,STR031,PRD0102,Shoes,4,4746.04,10,1235.43,Returning,Cash,18984.16,4941.72,14042.44,
INV1002963,"Friday, May 17, 2024",May,Friday,Weekday,2024-Q2,STR047,PRD0070,Accessories,2,3016.4,0,561.24,Returning,Card,6032.8,1122.48,4910.32,
INV1002964,"Saturday, February 10, 2024",Feb,Saturday,Weekend,2024-Q1,STR036,PRD0033,Clothing,4,3569.87,20,1336.63,Returning,Card,14279.48,5346.52,8932.96,
INV1002965,"Monday, January 27, 2025",Jan,Monday,Weekday,2025-Q1,STR018,PRD0045,Accessories,5,8065.91,20,263.83,Returning,Card,40329.55,1319.15,39010.4,
INV1002966,"Tuesday, February 25, 2025",Feb,Tuesday,Weekday,2025-Q1,STR030,PRD0061,Accessories,1,3507.24,5,1804.88,New,Cash,3507.24,1804.88,1702.36,
INV1002967,"Wednesday, June 26, 2024",Jun,Wednesday,Weekday,2024-Q2,STR040,PRD0018,Clothing,2,3749.2,10,1259.24,Returning,Digital,7498.4,2518.48,4979.92,
INV1002968,"Wednesday, November 5, 2025",Nov,Wednesday,Weekday,2025-Q4,STR028,PRD0024,Clothing,7,3629.21,30,368.98,Returning,Cash,25404.47,2582.86,22821.61,
INV1002969,"Tuesday, September 17, 2024",Sep,Tuesday,Weekday,2024-Q3,STR010,PRD0108,Shoes,1,2807.36,0,1102.91,Returning,Digital,2807.36,1102.91,1704.45,
INV1002970,"Monday, January 13, 2025",Jan,Monday,Weekday,2025-Q1,STR023,PRD0053,Accessories,3,1452.64,30,701.28,Returning,Digital,4357.92,2103.84,2254.08,
INV1002971,"Monday, August 5, 2024",Aug,Monday,Weekday,2024-Q3,STR004,PRD0104,Shoes,2,4150.4,0,1190.7,Returning,Cash,8300.8,2381.4,5919.4,
INV1002972,"Wednesday, July 24, 2024",Jul,Wednesday,Weekday,2024-Q3,STR003,PRD0017,Clothing,3,3679.49,20,508.36,Returning,Digital,11038.47,1525.08,9513.39,
INV1002973,"Sunday, April 6, 2025",Apr,Sunday,Weekend,2025-Q2,STR012,PRD0104,Shoes,5,7171.65,15,1187.71,Returning,Cash,35858.25,5938.55,29919.7,
INV1002974,"Tuesday, April 2, 2024",Apr,Tuesday,Weekday,2024-Q2,STR023,PRD0054,Accessories,1,2124.11,15,1550.8,Returning,Cash,2124.11,1550.8,573.31,
INV1002975,"Saturday, December 28, 2024",Dec,Saturday,Weekend,2024-Q4,STR012,PRD0072,Accessories,9,9069.56,15,1921.48,Returning,Card,81626.04,17293.32,64332.72,
INV1002976,"Saturday, February 10, 2024",Feb,Saturday,Weekend,2024-Q1,STR025,PRD0030,Clothing,2,2091.38,15,1160.33,Returning,Cash,4182.76,2320.66,1862.1,
INV1002977,"Tuesday, January 2, 2024",Jan,Tuesday,Weekday,2024-Q1,STR011,PRD0085,Shoes,3,4567.84,5,872.7,Returning,Digital,13703.52,2618.1,11085.42,
INV1002978,"Monday, April 29, 2024",Apr,Monday,Weekday,2024-Q2,STR039,PRD0068,Accessories,3,7683.44,5,140.1,Returning,Card,23050.32,420.3,22630.02,
INV1002979,"Friday, October 10, 2025",Oct,Friday,Weekday,2025-Q4,STR003,PRD0043,Accessories,6,1794.92,10,478.12,New,Digital,10769.52,2868.72,7900.8,
INV1002980,"Wednesday, February 5, 2025",Feb,Wednesday,Weekday,2025-Q1,STR011,PRD0027,Clothing,3,3856.06,0,322.4,New,Card,11568.18,967.2,10600.98,
INV1002981,"Sunday, November 9, 2025",Nov,Sunday,Weekend,2025-Q4,STR048,PRD0062,Accessories,6,5587.86,25,1124.49,Returning,Digital,33527.16,6746.94,26780.22,
INV1002982,"Saturday, March 29, 2025",Mar,Saturday,Weekend,2025-Q1,STR002,PRD0093,Shoes,7,2551.05,30,1288,Returning,Cash,17857.35,9016,8841.35,
INV1002983,"Thursday, July 4, 2024",Jul,Thursday,Weekday,2024-Q3,STR048,PRD0001,Clothing,3,2330.15,0,1402.14,Returning,Digital,6990.45,4206.42,2784.03,
INV1002984,"Tuesday, January 28, 2025",Jan,Tuesday,Weekday,2025-Q1,STR049,PRD0082,Shoes,3,5870.48,0,594.5,Returning,Digital,17611.44,1783.5,15827.94,
INV1002985,"Wednesday, October 23, 2024",Oct,Wednesday,Weekday,2024-Q4,STR029,PRD0064,Accessories,5,6549.87,0,1550.43,Returning,Card,32749.35,7752.15,24997.2,
INV1002986,"Thursday, March 28, 2024",Mar,Thursday,Weekday,2024-Q1,STR009,PRD0100,Shoes,3,4128.43,10,1905.88,Returning,Digital,12385.29,5717.64,6667.65,
INV1002987,"Wednesday, April 24, 2024",Apr,Wednesday,Weekday,2024-Q2,STR002,PRD0040,Clothing,2,3691.34,0,1335.18,New,Card,7382.68,2670.36,4712.32,
INV1002988,"Sunday, February 23, 2025",Feb,Sunday,Weekend,2025-Q1,STR039,PRD0093,Shoes,7,6486.18,30,1723.03,New,Cash,45403.26,12061.21,33342.05,
INV1002989,"Thursday, July 10, 2025",Jul,Thursday,Weekday,2025-Q3,STR031,PRD0072,Accessories,2,5513.14,0,2235.29,Returning,Card,11026.28,4470.58,6555.7,
INV1002990,"Saturday, December 14, 2024",Dec,Saturday,Weekend,2024-Q4,STR015,PRD0068,Accessories,5,4092.45,20,179.46,Returning,Cash,20462.25,897.3,19564.95,
INV1002991,"Saturday, May 31, 2025",May,Saturday,Weekend,2025-Q2,STR012,PRD0080,Accessories,4,8526.97,0,674.31,Returning,Card,34107.88,2697.24,31410.64,
INV1002992,"Wednesday, August 14, 2024",Aug,Wednesday,Weekday,2024-Q3,STR043,PRD0109,Shoes,4,3847.33,10,831.88,Returning,Cash,15389.32,3327.52,12061.8,
INV1002993,"Wednesday, June 11, 2025",Jun,Wednesday,Weekday,2025-Q2,STR011,PRD0054,Accessories,1,2963.49,0,1870.76,New,Cash,2963.49,1870.76,1092.73,
INV1002994,"Wednesday, December 20, 2023",Dec,Wednesday,Weekday,2023-Q4,STR046,PRD0007,Clothing,3,1514.25,5,2122.01,Returning,Card,4542.75,6366.03,-1823.28,
INV1002995,"Monday, October 14, 2024",Oct,Monday,Weekday,2024-Q4,STR035,PRD0029,Clothing,5,1614.88,10,1658.45,New,Card,8074.4,8292.25,-217.85,
INV1002996,"Sunday, June 9, 2024",Jun,Sunday,Weekend,2024-Q2,STR008,PRD0047,Accessories,2,8240.51,0,257.66,New,Card,16481.02,515.32,15965.7,
INV1002997,"Friday, November 29, 2024",Nov,Friday,Weekday,2024-Q4,STR033,PRD0099,Shoes,8,4117.81,20,2332.49,Returning,Card,32942.48,18659.92,14282.56,
INV1002998,"Wednesday, June 25, 2025",Jun,Wednesday,Weekday,2025-Q2,STR019,PRD0046,Accessories,1,9618.93,0,507.73,Returning,Card,9618.93,507.73,9111.2,
INV1002999,"Wednesday, August 27, 2025",Aug,Wednesday,Weekday,2025-Q3,STR042,PRD0031,Clothing,1,3597.48,5,1559.53,Returning,Card,3597.48,1559.53,2037.95,
INV1003000,"Friday, May 3, 2024",May,Friday,Weekday,2024-Q2,STR019,PRD0115,Shoes,1,1335.01,0,1631.71,Returning,Card,1335.01,1631.71,-296.7,
INV1003001,"Sunday, October 5, 2025",Oct,Sunday,Weekend,2025-Q4,STR024,PRD0019,Clothing,6,4140.52,5,1350.76,Returning,Cash,24843.12,8104.56,16738.56,
INV1003002,"Monday, May 27, 2024",May,Monday,Weekday,2024-Q2,STR042,PRD0041,Accessories,1,1233.92,10,1189.56,Returning,Digital,1233.92,1189.56,44.36,
INV1003003,"Wednesday, March 19, 2025",Mar,Wednesday,Weekday,2025-Q1,STR004,PRD0103,Shoes,4,2272.47,10,1556.82,Returning,Card,9089.88,6227.28,2862.6,
INV1003004,"Wednesday, January 17, 2024",Jan,Wednesday,Weekday,2024-Q1,STR002,PRD0066,Accessories,4,7387.32,0,1603.95,Returning,Cash,29549.28,6415.8,23133.48,
INV1003005,"Saturday, September 7, 2024",Sep,Saturday,Weekend,2024-Q3,STR047,PRD0012,Clothing,6,4035.98,0,1161.03,Returning,Digital,24215.88,6966.18,17249.7,
INV1003006,"Tuesday, July 1, 2025",Jul,Tuesday,Weekday,2025-Q3,STR028,PRD0030,Clothing,2,1803.03,15,1414.44,Returning,Cash,3606.06,2828.88,777.18,
INV1003007,"Monday, March 24, 2025",Mar,Monday,Weekday,2025-Q1,STR036,PRD0005,Clothing,3,2127.64,0,1697.47,Returning,Digital,6382.92,5092.41,1290.51,
INV1003008,"Sunday, September 21, 2025",Sep,Sunday,Weekend,2025-Q3,STR019,PRD0105,Shoes,2,4244.86,0,707.26,Returning,Cash,8489.72,1414.52,7075.2,
INV1003009,"Wednesday, September 25, 2024",Sep,Wednesday,Weekday,2024-Q3,STR036,PRD0077,Accessories,1,1143.52,0,2180.57,New,Card,1143.52,2180.57,-1037.05,
INV1003010,"Wednesday, August 20, 2025",Aug,Wednesday,Weekday,2025-Q3,STR024,PRD0061,Accessories,2,965.98,15,1753.84,Returning,Card,1931.96,3507.68,-1575.72,
INV1003011,"Monday, March 18, 2024",Mar,Monday,Weekday,2024-Q1,STR027,PRD0012,Clothing,2,1335.38,15,949.58,New,Cash,2670.76,1899.16,771.6,
INV1003012,"Saturday, July 6, 2024",Jul,Saturday,Weekend,2024-Q3,STR006,PRD0114,Shoes,4,5809.8,0,387.38,Returning,Card,23239.2,1549.52,21689.68,
INV1003013,"Thursday, September 11, 2025",Sep,Thursday,Weekday,2025-Q3,STR011,PRD0080,Accessories,1,5398.73,5,591.87,Returning,Card,5398.73,591.87,4806.86,
INV1003014,"Sunday, March 10, 2024",Mar,Sunday,Weekend,2024-Q1,STR020,PRD0104,Shoes,4,3395.34,15,980.55,Returning,Cash,13581.36,3922.2,9659.16,
INV1003015,"Saturday, November 1, 2025",Nov,Saturday,Weekend,2025-Q4,STR014,PRD0025,Clothing,7,1944.2,10,2274.99,Returning,Card,13609.4,15924.93,-2315.53,
INV1003016,"Saturday, November 1, 2025",Nov,Saturday,Weekend,2025-Q4,STR032,PRD0007,Clothing,6,4962.66,10,2135.36,Returning,Digital,29775.96,12812.16,16963.8,
INV1003017,"Thursday, September 12, 2024",Sep,Thursday,Weekday,2024-Q3,STR006,PRD0080,Accessories,2,1416.97,15,570,New,Digital,2833.94,1140,1693.94,
INV1003018,"Friday, August 16, 2024",Aug,Friday,Weekday,2024-Q3,STR011,PRD0003,Clothing,2,3935.49,0,743.61,New,Card,7870.98,1487.22,6383.76,
INV1003019,"Friday, April 11, 2025",Apr,Friday,Weekday,2025-Q2,STR017,PRD0115,Shoes,3,4538.52,0,2032.03,New,Digital,13615.56,6096.09,7519.47,
INV1003020,"Thursday, June 20, 2024",Jun,Thursday,Weekday,2024-Q2,STR042,PRD0059,Accessories,1,1774.63,0,340.73,Returning,Card,1774.63,340.73,1433.9,
INV1003021,"Monday, January 15, 2024",Jan,Monday,Weekday,2024-Q1,STR033,PRD0094,Shoes,6,1353.17,20,957.07,Returning,Digital,8119.02,5742.42,2376.6,
INV1003022,"Monday, June 17, 2024",Jun,Monday,Weekday,2024-Q2,STR013,PRD0098,Shoes,7,6969.68,20,1154.86,Returning,Cash,48787.76,8084.02,40703.74,
INV1003023,"Tuesday, December 31, 2024",Dec,Tuesday,Weekday,2024-Q4,STR023,PRD0077,Accessories,4,6193.09,5,1766.04,Returning,Cash,24772.36,7064.16,17708.2,
INV1003024,"Thursday, November 30, 2023",Nov,Thursday,Weekday,2023-Q4,STR004,PRD0004,Clothing,5,2719.19,0,574.87,New,Cash,13595.95,2874.35,10721.6,
INV1003025,"Friday, December 22, 2023",Dec,Friday,Weekday,2023-Q4,STR027,PRD0026,Clothing,5,1623.41,0,655.58,New,Digital,8117.05,3277.9,4839.15,
INV1003026,"Monday, May 13, 2024",May,Monday,Weekday,2024-Q2,STR035,PRD0089,Shoes,4,4588.16,20,239.2,Returning,Cash,18352.64,956.8,17395.84,
INV1003027,"Wednesday, May 28, 2025",May,Wednesday,Weekday,2025-Q2,STR037,PRD0064,Accessories,2,2109.09,20,1414.55,Returning,Card,4218.18,2829.1,1389.08,
INV1003028,"Sunday, March 17, 2024",Mar,Sunday,Weekend,2024-Q1,STR018,PRD0046,Accessories,2,3368.74,0,622.62,Returning,Digital,6737.48,1245.24,5492.24,
INV1003029,"Thursday, May 29, 2025",May,Thursday,Weekday,2025-Q2,STR034,PRD0111,Shoes,1,1988.67,5,1941.23,Returning,Card,1988.67,1941.23,47.44,
INV1003030,"Wednesday, July 24, 2024",Jul,Wednesday,Weekday,2024-Q3,STR026,PRD0113,Shoes,1,4850.66,0,1107.83,New,Cash,4850.66,1107.83,3742.83,
INV1003031,"Tuesday, August 27, 2024",Aug,Tuesday,Weekday,2024-Q3,STR017,PRD0057,Accessories,3,3831.69,5,393.06,Returning,Digital,11495.07,1179.18,10315.89,
INV1003032,"Thursday, January 2, 2025",Jan,Thursday,Weekday,2025-Q1,STR007,PRD0051,Accessories,3,2539.62,0,889.05,Returning,Cash,7618.86,2667.15,4951.71,
INV1003033,"Tuesday, September 24, 2024",Sep,Tuesday,Weekday,2024-Q3,STR029,PRD0062,Accessories,1,4176.47,0,1116.93,New,Digital,4176.47,1116.93,3059.54,
INV1003034,"Monday, November 17, 2025",Nov,Monday,Weekday,2025-Q4,STR006,PRD0048,Accessories,4,4562.3,10,639.22,Returning,Card,18249.2,2556.88,15692.32,
INV1003035,"Sunday, December 8, 2024",Dec,Sunday,Weekend,2024-Q4,STR007,PRD0040,Clothing,7,2240.2,0,972.44,Returning,Cash,15681.4,6807.08,8874.32,
INV1003036,"Thursday, November 14, 2024",Nov,Thursday,Weekday,2024-Q4,STR022,PRD0044,Accessories,3,3595.92,0,683.78,Returning,Digital,10787.76,2051.34,8736.42,
INV1003037,"Tuesday, August 20, 2024",Aug,Tuesday,Weekday,2024-Q3,STR050,PRD0109,Shoes,1,7940.01,0,962.01,New,Digital,7940.01,962.01,6978,
INV1003038,"Sunday, June 22, 2025",Jun,Sunday,Weekend,2025-Q2,STR018,PRD0081,Shoes,3,5739.1,0,1064.32,New,Cash,17217.3,3192.96,14024.34,
INV1003039,"Monday, April 8, 2024",Apr,Monday,Weekday,2024-Q2,STR001,PRD0109,Shoes,1,1420.88,5,1000.93,Returning,Digital,1420.88,1000.93,419.95,
INV1003040,"Monday, October 27, 2025",Oct,Monday,Weekday,2025-Q4,STR025,PRD0103,Shoes,6,5026.72,10,1622.45,Returning,Digital,30160.32,9734.7,20425.62,
INV1003041,"Tuesday, January 16, 2024",Jan,Tuesday,Weekday,2024-Q1,STR025,PRD0103,Shoes,5,4618.71,10,1414.83,New,Digital,23093.55,7074.15,16019.4,
INV1003042,"Friday, January 10, 2025",Jan,Friday,Weekday,2025-Q1,STR013,PRD0034,Clothing,2,632.19,5,2117.41,Returning,Cash,1264.38,4234.82,-2970.44,
INV1003043,"Saturday, December 9, 2023",Dec,Saturday,Weekend,2023-Q4,STR027,PRD0103,Shoes,10,5790.85,20,1261.09,New,Digital,57908.5,12610.9,45297.6,
INV1003044,"Wednesday, April 2, 2025",Apr,Wednesday,Weekday,2025-Q2,STR031,PRD0105,Shoes,2,4136.47,5,489.36,Returning,Card,8272.94,978.72,7294.22,
INV1003045,"Wednesday, August 7, 2024",Aug,Wednesday,Weekday,2024-Q3,STR046,PRD0016,Clothing,5,1871.96,25,990.62,Returning,Card,9359.8,4953.1,4406.7,
INV1003046,"Saturday, March 22, 2025",Mar,Saturday,Weekend,2025-Q1,STR019,PRD0018,Clothing,5,4258.88,15,1454.24,Returning,Cash,21294.4,7271.2,14023.2,
INV1003047,"Sunday, January 28, 2024",Jan,Sunday,Weekend,2024-Q1,STR022,PRD0022,Clothing,3,2752.2,0,1693.06,Returning,Card,8256.6,5079.18,3177.42,
INV1003048,"Friday, October 10, 2025",Oct,Friday,Weekday,2025-Q4,STR019,PRD0090,Shoes,3,6209.08,0,195.97,Returning,Digital,18627.24,587.91,18039.33,
INV1003049,"Thursday, February 22, 2024",Feb,Thursday,Weekday,2024-Q1,STR028,PRD0036,Clothing,1,4592.51,5,1155.49,New,Cash,4592.51,1155.49,3437.02,
INV1003050,"Sunday, September 21, 2025",Sep,Sunday,Weekend,2025-Q3,STR036,PRD0014,Clothing,2,1064.52,0,518.33,Returning,Cash,2129.04,1036.66,1092.38,
INV1003051,"Saturday, June 14, 2025",Jun,Saturday,Weekend,2025-Q2,STR018,PRD0112,Shoes,4,7993.33,5,707.67,New,Digital,31973.32,2830.68,29142.64,
INV1003052,"Monday, April 22, 2024",Apr,Monday,Weekday,2024-Q2,STR041,PRD0109,Shoes,4,7204.74,10,864.03,New,Cash,28818.96,3456.12,25362.84,
INV1003053,"Thursday, January 9, 2025",Jan,Thursday,Weekday,2025-Q1,STR011,PRD0087,Shoes,3,4651.1,0,1972.87,Returning,Cash,13953.3,5918.61,8034.69,
INV1003054,"Tuesday, November 18, 2025",Nov,Tuesday,Weekday,2025-Q4,STR009,PRD0054,Accessories,4,8887.03,10,1788.19,Returning,Digital,35548.12,7152.76,28395.36,
INV1003055,"Friday, December 29, 2023",Dec,Friday,Weekday,2023-Q4,STR005,PRD0107,Shoes,5,4577.74,5,372.83,Returning,Digital,22888.7,1864.15,21024.55,
INV1003056,"Monday, February 5, 2024",Feb,Monday,Weekday,2024-Q1,STR032,PRD0094,Shoes,3,4953.38,5,763.54,New,Digital,14860.14,2290.62,12569.52,
INV1003057,"Thursday, July 3, 2025",Jul,Thursday,Weekday,2025-Q3,STR006,PRD0014,Clothing,2,4997.11,0,545.88,New,Digital,9994.22,1091.76,8902.46,
INV1003058,"Monday, June 2, 2025",Jun,Monday,Weekday,2025-Q2,STR032,PRD0028,Clothing,3,4818.29,10,319.33,Returning,Cash,14454.87,957.99,13496.88,
INV1003059,"Friday, April 11, 2025",Apr,Friday,Weekday,2025-Q2,STR032,PRD0093,Shoes,1,5617.56,5,1907,Returning,Card,5617.56,1907,3710.56,
INV1003060,"Sunday, February 25, 2024",Feb,Sunday,Weekend,2024-Q1,STR008,PRD0081,Shoes,5,1858.63,0,1046.32,Returning,Cash,9293.15,5231.6,4061.55,
INV1003061,"Thursday, January 9, 2025",Jan,Thursday,Weekday,2025-Q1,STR031,PRD0074,Accessories,1,9724.41,5,575.17,Returning,Card,9724.41,575.17,9149.24,
INV1003062,"Friday, September 12, 2025",Sep,Friday,Weekday,2025-Q3,STR047,PRD0108,Shoes,2,2263.53,15,1108.58,Returning,Card,4527.06,2217.16,2309.9,
INV1003063,"Monday, December 4, 2023",Dec,Monday,Weekday,2023-Q4,STR043,PRD0068,Accessories,6,1595.89,10,135.77,Returning,Digital,9575.34,814.62,8760.72,
INV1003064,"Monday, January 22, 2024",Jan,Monday,Weekday,2024-Q1,STR002,PRD0058,Accessories,4,752.44,5,1334.41,Returning,Digital,3009.76,5337.64,-2327.88,
INV1003065,"Monday, April 14, 2025",Apr,Monday,Weekday,2025-Q2,STR028,PRD0097,Shoes,4,6614.6,0,2056.43,New,Digital,26458.4,8225.72,18232.68,
INV1003066,"Saturday, November 1, 2025",Nov,Saturday,Weekend,2025-Q4,STR033,PRD0031,Clothing,9,1728.33,0,1484.12,Returning,Digital,15554.97,13357.08,2197.89,
INV1003067,"Monday, September 9, 2024",Sep,Monday,Weekday,2024-Q3,STR012,PRD0079,Accessories,2,4275.5,5,496.92,Returning,Card,8551,993.84,7557.16,
INV1003068,"Friday, July 25, 2025",Jul,Friday,Weekday,2025-Q3,STR028,PRD0061,Accessories,3,4133.12,0,2120.27,New,Digital,12399.36,6360.81,6038.55,
INV1003069,"Sunday, December 31, 2023",Dec,Sunday,Weekend,2023-Q4,STR018,PRD0064,Accessories,7,4923.3,20,1316.74,New,Digital,34463.1,9217.18,25245.92,
INV1003070,"Monday, December 23, 2024",Dec,Monday,Weekday,2024-Q4,STR026,PRD0079,Accessories,4,9919.45,0,537.1,Returning,Card,39677.8,2148.4,37529.4,
INV1003071,"Sunday, December 24, 2023",Dec,Sunday,Weekend,2023-Q4,STR029,PRD0029,Clothing,5,1586.85,10,1786.71,Returning,Card,7934.25,8933.55,-999.3,
INV1003072,"Sunday, March 24, 2024",Mar,Sunday,Weekend,2024-Q1,STR042,PRD0020,Clothing,3,1722.93,5,107.84,New,Digital,5168.79,323.52,4845.27,
INV1003073,"Saturday, June 22, 2024",Jun,Saturday,Weekend,2024-Q2,STR002,PRD0008,Clothing,5,3740.55,15,250.14,Returning,Cash,18702.75,1250.7,17452.05,
INV1003074,"Sunday, May 18, 2025",May,Sunday,Weekend,2025-Q2,STR032,PRD0056,Accessories,2,2536.32,0,1505.25,Returning,Digital,5072.64,3010.5,2062.14,
INV1003075,"Tuesday, July 2, 2024",Jul,Tuesday,Weekday,2024-Q3,STR015,PRD0060,Accessories,1,1656.18,20,915.06,New,Digital,1656.18,915.06,741.12,
INV1003076,"Wednesday, November 5, 2025",Nov,Wednesday,Weekday,2025-Q4,STR003,PRD0030,Clothing,4,4144.61,15,1355.56,New,Cash,16578.44,5422.24,11156.2,
